form_id,lexeme,cell,phon_form
271,opinoi,fut.pfv.pot.3act.nsgact.3und.sgund.def.nplu,srpinɔɔm+D4574ɔmɛ
272,opinoi,fut.pfv.pot.3act.nsgact.3und.nsgund.nplu,srpinɔɔmɔmɛ
273,opinoi,fut.pfv.imp.1act.sgact.2und.sgund.nplu,knpinɔ
274,opinoi,fut.pfv.imp.1act.sgact.2und.nsgund.nplu,srpinɔ
275,opinoi,fut.pfv.imp.1act.sgact.3und.sgund.fem.nplu,brpinɔ
276,opinoi,fut.pfv.imp.1act.sgact.3und.sgund.def.nplu,srpinɔ
277,opinoi,fut.pfv.imp.1act.sgact.3und.nsgund.nplu,srpinɔ
278,opinoi,fut.pfv.imp.1act.nsgact.2und.sgund.nplu,knpinɔɛj
279,opinoi,fut.pfv.imp.1act.nsgact.2und.nsgund.nplu,srpinɔɛj
280,opinoi,fut.pfv.imp.1act.nsgact.3und.sgund.fem.nplu,brpinɔɛj
281,opinoi,fut.pfv.imp.1act.nsgact.3und.sgund.def.nplu,srpinɔɛj
282,opinoi,fut.pfv.imp.1act.nsgact.3und.nsgund.nplu,srpinɔɛj
283,opinoi,fut.pfv.imp.2act.sgact.1und.sgund.nplu,bpinɔ
284,opinoi,fut.pfv.imp.2act.sgact.1und.nsgund.nplu,knpinɔ
